,training_correlation,absolute_training_correlation,minimum_absolute_correlation,meets_correlation_threshold,subperiod_sign_agreement,sign_stable,stability_required,orientation_supported,orientation_sign,transformation,orientation_training_observations,orientation_source,training_subperiod_1_correlation,training_subperiod_2_correlation,training_subperiod_3_correlation
market_loss_1d,-0.04877891075703495,0.04877891075703495,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.013311731517234067,-0.07781986687677091,-0.03576310796671316
vix,-0.04203433411078533,0.04203433411078533,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.13108903053444307,0.0062331874748120025,-0.22327537436543074
realized_volatility_20d,0.06805181757077819,0.06805181757077819,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),0.018068822279316655,0.11513256189131041,-0.1384511523683526
drawdown_severity,-0.04405224211778872,0.04405224211778872,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.14566270481241983,-0.06738396752691467,-0.2089575357251765
liquidity_stress_20d,0.01227505197566877,0.01227505197566877,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.06379574884118923,0.0001635799678145287,0.0110873564904399
baa_credit_spread_pct,-0.019792592055334488,0.019792592055334488,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.1118918186416911,-0.12094099906076965,-0.018371264983261665
term_spread_10y_2y_pct,0.0022566817508756967,0.0022566817508756967,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.19314612756114244,0.14449615601567287,-0.05446980001779888
average_equity_correlation_60d,0.02807867740042315,0.02807867740042315,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.09425508676280331,0.040566302952479316,-0.17405285905751178
negative_momentum_21d,-0.054722351924400364,0.054722351924400364,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.15809074673654328,-0.005759210643886309,-0.09862331255559828
lagged_portfolio_loss_1d,-0.054936910843918926,0.054936910843918926,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.04393942024002606,-0.0693959951843347,-0.03601510919414134
