fold,sample,observations,start,end,events,event prevalence
0,OOS,253,2020-01-02,2020-12-31,13,0.05138339920948617
0,calibration,502,2018-01-02,2019-12-30,20,0.0398406374501992
0,selection_validation,377,2016-07-01,2017-12-28,7,0.01856763925729443
0,train,376,2015-01-02,2016-06-29,15,0.0398936170212766
1,OOS,252,2021-01-04,2021-12-31,3,0.011904761904761904
1,calibration,504,2019-01-02,2020-12-30,15,0.02976190476190476
1,selection_validation,376,2017-07-03,2018-12-28,21,0.05585106382978723
1,train,376,2016-01-04,2017-06-29,10,0.026595744680851064
2,OOS,251,2022-01-03,2022-12-30,17,0.06772908366533864
2,calibration,504,2020-01-02,2021-12-30,16,0.031746031746031744
2,selection_validation,377,2018-07-02,2019-12-30,10,0.026525198938992044
2,train,375,2017-01-03,2018-06-28,16,0.042666666666666665
3,OOS,250,2023-01-03,2023-12-29,0,0.0
3,calibration,502,2021-01-04,2022-12-29,20,0.0398406374501992
3,selection_validation,380,2019-07-01,2020-12-30,14,0.03684210526315789
3,train,374,2018-01-02,2019-06-27,19,0.05080213903743316
4,OOS,252,2024-01-02,2024-12-31,8,0.031746031746031744
4,calibration,500,2022-01-03,2023-12-28,17,0.034
4,selection_validation,379,2020-07-01,2021-12-30,3,0.0079155672823219
4,train,376,2019-01-02,2020-06-29,15,0.0398936170212766
5,OOS,250,2025-01-02,2025-12-31,11,0.044
5,calibration,501,2023-01-03,2024-12-30,8,0.015968063872255488
5,selection_validation,378,2021-07-01,2022-12-29,20,0.05291005291005291
5,train,376,2020-01-02,2021-06-29,13,0.034574468085106384
6,OOS,143,2026-01-02,2026-07-29,2,0.013986013986013986
6,calibration,501,2024-01-02,2025-12-30,19,0.03792415169660679
6,selection_validation,376,2022-07-01,2023-12-28,2,0.005319148936170213
6,train,375,2021-01-04,2022-06-29,18,0.048
