model,reference,mean loss difference,standard error,lower 95%,upper 95%,favors model
Historical mean,Choquet 2-additive,-0.0002495122919431565,2.6947275880601914e-05,-0.00030232798215060116,-0.0001966966017357119,True
Lasso,Choquet 2-additive,-0.000248996031208881,2.697336489527615e-05,-0.00030186285494547923,-0.00019612920747228273,True
Monotone linear,Choquet 2-additive,-0.0002487456846967743,2.691028213254865e-05,-0.0003014888684903814,-0.00019600250090316722,True
Elastic net,Choquet 2-additive,-0.0002480138438237217,2.707737786720475e-05,-0.000301084529239225,-0.00019494315840821845,True
Random forest,Choquet 2-additive,-0.00024692000388897803,2.680655810278359e-05,-0.0002994598923199142,-0.00019438011545804186,True
Gradient boosting,Choquet 2-additive,-0.00024338079705114933,2.7307238419105728e-05,-0.00029690200086984503,-0.00018985959323245363,True
Ridge,Choquet 2-additive,-0.00024288985692677594,2.6773743194464733e-05,-0.00029536542931925117,-0.00019041428453430069,True
OLS,Choquet 2-additive,-0.00024242578060765468,2.6750640769250563e-05,-0.00029485607307875466,-0.00018999548813655474,True
OLS oriented,Choquet 2-additive,-0.00024242578060765468,2.6750640769250563e-05,-0.00029485607307875466,-0.00018999548813655474,True
Explicit interactions,Choquet 2-additive,-0.00022958179588416277,2.7908214696990422e-05,-0.0002842808915630754,-0.00017488270020525013,True
Choquet 1-additive,Choquet 2-additive,2.4762848053673876e-06,1.2385131566147533e-05,-2.179812700807193e-05,2.6750696618806706e-05,False
Choquet 2-additive L1,Choquet 2-additive,1.785113804847178e-05,3.685026939373879e-06,1.062861796523911e-05,2.5073658131704447e-05,False
MLP,Choquet 2-additive,0.001858846814563706,0.00020586365575681317,0.0014553614635546004,0.0022623321655728112,False
