model,base model,class weight,probability calibration,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap
Choquistic 1-additive [balanced],Choquistic 1-additive,balanced,uncalibrated,0.2206105505578766,0.6363003913710632,0.45999782341656115,0.061930783242258654,0.3980670401743025,0.3980670401743025
Choquistic 2-additive [balanced],Choquistic 2-additive,balanced,uncalibrated,0.22243701740991986,0.6479109436633953,0.45191035630263,0.061930783242258654,0.38997957306037134,0.38997957306037134
Choquistic 1-additive [unweighted],Choquistic 1-additive,unweighted,uncalibrated,0.0575525636423539,0.2309133927341444,0.06108399662903432,0.061930783242258654,-0.0008467866132243346,0.0008467866132243346
Choquistic 2-additive [unweighted],Choquistic 2-additive,unweighted,uncalibrated,0.057223117329092,0.23280324791549023,0.06086748478019391,0.061930783242258654,-0.0010632984620647448,0.0010632984620647448
Fuzzy Choquet neural network [unweighted],Fuzzy Choquet neural network,unweighted,uncalibrated,0.05746359204714124,0.23075194221827441,0.07002808495940234,0.061930783242258654,0.008097301717143686,0.008097301717143686
Logistic [balanced] [sigmoid],Logistic,balanced,sigmoid,0.06412286273451474,0.25323036200796206,0.10855198162234983,0.061930783242258654,0.046621198380091176,0.046621198380091176
Logistic oriented [balanced] [sigmoid],Logistic oriented,balanced,sigmoid,0.06412286273451474,0.25323036200796206,0.10855198162234983,0.061930783242258654,0.046621198380091176,0.046621198380091176
Logistic oriented [unweighted] [sigmoid],Logistic oriented,unweighted,sigmoid,0.0664964574763568,0.258404563305366,0.10883813290993044,0.061930783242258654,0.04690734966767179,0.04690734966767179
Logistic [unweighted] [sigmoid],Logistic,unweighted,sigmoid,0.0664964574763568,0.258404563305366,0.10883813290993044,0.061930783242258654,0.04690734966767179,0.04690734966767179
Penalized logistic [balanced] [sigmoid],Penalized logistic,balanced,sigmoid,0.0649312819144493,0.2544693002536177,0.10929441593359772,0.061930783242258654,0.047363632691339065,0.047363632691339065
Random forest [unweighted],Random forest,unweighted,uncalibrated,0.060235759199928324,0.2404705969466537,0.09736392417141784,0.061930783242258654,0.03543314092915919,0.03543314092915919
Random forest [balanced],Random forest,balanced,uncalibrated,0.1524038222549735,0.4811224935537193,0.341409853594027,0.061930783242258654,0.27947907035176833,0.27947907035176833
MLP [sigmoid],MLP,not applicable,sigmoid,0.06944221855007802,0.26287179515986725,0.082617395899931,0.061930783242258654,0.020686612657672347,0.020686612657672347
Gradient boosting [balanced],Gradient boosting,balanced,uncalibrated,0.09819267462250734,0.40477673029813604,0.14722455958400654,0.061930783242258654,0.0852937763417479,0.0852937763417479
RBF SVM [balanced],RBF SVM,balanced,uncalibrated,0.07608646424574,0.2866240118338644,0.15033287423987846,0.061930783242258654,0.08840209099761981,0.08840209099761981
Gradient boosting [unweighted],Gradient boosting,unweighted,uncalibrated,0.07499388670771785,0.3402234120704343,0.08081532086081329,0.061930783242258654,0.018884537618554638,0.018884537618554638
Choquistic 1-additive [unweighted] [sigmoid],Choquistic 1-additive,unweighted,sigmoid,0.058251257163209176,0.23399359863135558,0.05882939735815048,0.061930783242258654,-0.0031013858841081737,0.0031013858841081737
RBF SVM [unweighted],RBF SVM,unweighted,uncalibrated,0.07016752450931445,0.2758610522813387,0.10111824217557028,0.061930783242258654,0.039187458933311624,0.039187458933311624
Choquistic 2-additive [balanced] [sigmoid],Choquistic 2-additive,balanced,sigmoid,0.05838500917315808,0.2349133062480522,0.05017997284694202,0.061930783242258654,-0.011750810395316634,0.011750810395316634
Choquistic 2-additive [unweighted] [sigmoid],Choquistic 2-additive,unweighted,sigmoid,0.05827888674152995,0.23401862279208924,0.0543353310419286,0.061930783242258654,-0.007595452200330054,0.007595452200330054
Fuzzy Choquet neural network [unweighted] [sigmoid],Fuzzy Choquet neural network,unweighted,sigmoid,0.05834730265463547,0.23450815491414814,0.05299561135302944,0.061930783242258654,-0.008935171889229217,0.008935171889229217
Explicit interactions [unweighted],Explicit interactions,unweighted,uncalibrated,0.06939000460652807,0.3715763904749624,0.0807165185233233,0.061930783242258654,0.01878573528106465,0.01878573528106465
Explicit interactions [unweighted] [sigmoid],Explicit interactions,unweighted,sigmoid,0.05853957851793139,0.2359530314638125,0.059509689579750225,0.061930783242258654,-0.0024210936625084292,0.0024210936625084292
RBF SVM [unweighted] [sigmoid],RBF SVM,unweighted,sigmoid,0.05990345783646884,0.24630689848327422,0.06148427202378703,0.061930783242258654,-0.00044651121847162634,0.00044651121847162634
Fuzzy Choquet neural network [balanced] [sigmoid],Fuzzy Choquet neural network,balanced,sigmoid,0.05843498737285524,0.23536365868642253,0.04991455223297973,0.061930783242258654,-0.012016231009278927,0.012016231009278927
Explicit interactions [balanced],Explicit interactions,balanced,uncalibrated,0.2768084778696488,1.127503804602964,0.40833845853389444,0.061930783242258654,0.3464076752916358,0.3464076752916358
Penalized logistic [balanced],Penalized logistic,balanced,uncalibrated,0.49874552940556716,1.8270516304107653,0.6727469543152997,0.061930783242258654,0.6108161710730411,0.6108161710730411
Random forest [unweighted] [sigmoid],Random forest,unweighted,sigmoid,0.06265802735199218,0.24784210178323435,0.06614671245790697,0.061930783242258654,0.004215929215648319,0.004215929215648319
Penalized logistic [unweighted],Penalized logistic,unweighted,uncalibrated,0.14815347136358148,0.4610687789008963,0.22636664917663885,0.061930783242258654,0.1644358659343802,0.1644358659343802
MLP,MLP,not applicable,uncalibrated,0.17602450286365934,0.9694114650245527,0.19987569302403266,0.061930783242258654,0.137944909781774,0.137944909781774
Random forest [balanced] [sigmoid],Random forest,balanced,sigmoid,0.05846814789925462,0.23415796252764615,0.058876064599768,0.061930783242258654,-0.003054718642490656,0.003054718642490656
Rolling prior probability,Rolling prior probability,not applicable,uncalibrated,0.05865025629009845,0.23788778669354294,0.05920318826767988,0.061930783242258654,-0.0027275949745787717,0.0027275949745787717
Choquistic 1-additive [balanced] [sigmoid],Choquistic 1-additive,balanced,sigmoid,0.05849897896597457,0.23566287255935994,0.05615874821537054,0.061930783242258654,-0.0057720350268881115,0.0057720350268881115
Logistic [balanced],Logistic,balanced,uncalibrated,0.5543337421009689,2.075617250438771,0.7089293065496022,0.061930783242258654,0.6469985233073435,0.6469985233073435
Logistic oriented [balanced],Logistic oriented,balanced,uncalibrated,0.5543337421009689,2.075617250438771,0.7089293065496022,0.061930783242258654,0.6469985233073435,0.6469985233073435
Choquistic model aggregator [unweighted] [sigmoid],Choquistic model aggregator,unweighted,sigmoid,0.06097425709175118,0.2439573743773958,0.06599365924209574,0.061930783242258654,0.004062875999837089,0.004062875999837089
Explicit interactions [balanced] [sigmoid],Explicit interactions,balanced,sigmoid,0.058780402724918225,0.23813776146434348,0.05980033635982712,0.061930783242258654,-0.0021304468824315317,0.0021304468824315317
Choquistic model aggregator [balanced] [sigmoid],Choquistic model aggregator,balanced,sigmoid,0.06892313435823973,0.26832092183761286,0.08080668830768942,0.061930783242258654,0.018875905065430763,0.018875905065430763
Penalized logistic [unweighted] [sigmoid],Penalized logistic,unweighted,sigmoid,0.06140751627340482,0.24822314218029964,0.07283695221845003,0.061930783242258654,0.010906168976191379,0.010906168976191379
RBF SVM [balanced] [sigmoid],RBF SVM,balanced,sigmoid,0.058977952913239734,0.24174136121024575,0.05303323395947479,0.061930783242258654,-0.008897549282783863,0.008897549282783863
Logistic oriented [unweighted],Logistic oriented,unweighted,uncalibrated,0.19691825164987597,0.5919078797264749,0.29525975413688255,0.061930783242258654,0.2333289708946239,0.2333289708946239
Logistic [unweighted],Logistic,unweighted,uncalibrated,0.19691825164987597,0.5919078797264749,0.29525975413688255,0.061930783242258654,0.2333289708946239,0.2333289708946239
Rolling prior probability [sigmoid],Rolling prior probability,not applicable,sigmoid,0.05894260778755357,0.23939495404104613,0.06069359809042395,0.061930783242258654,-0.0012371851518347063,0.0012371851518347063
Choquistic model aggregator [unweighted],Choquistic model aggregator,unweighted,uncalibrated,0.2761068808485184,1.4795481383342197,0.2941626536100378,0.061930783242258654,0.23223187036777915,0.23223187036777915
Gradient boosting [unweighted] [sigmoid],Gradient boosting,unweighted,sigmoid,0.05940981063785488,0.242775772942248,0.06346801916798266,0.061930783242258654,0.0015372359257240023,0.0015372359257240023
Gradient boosting [balanced] [sigmoid],Gradient boosting,balanced,sigmoid,0.058874813841939315,0.23853757847078022,0.060004820948917834,0.061930783242258654,-0.0019259622933408202,0.0019259622933408202
Choquistic model aggregator [balanced],Choquistic model aggregator,balanced,uncalibrated,0.5092277366426128,2.127045834136849,0.6681604739894229,0.061930783242258654,0.6062296907471643,0.6062296907471643
Fuzzy Choquet neural network [balanced],Fuzzy Choquet neural network,balanced,uncalibrated,0.05891072395901594,0.23920717314307216,0.06602560087723212,0.061930783242258654,0.00409481763497347,0.00409481763497347
