model,base model,class weight,probability calibration,threshold source,ROC AUC,PR AUC,Precision,Recall,F1,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap,Threshold,Predicted event rate,Observed event rate,validation PR AUC,selection runtime seconds,refit runtime seconds,calibration runtime seconds,parameter count,calibration observations,calibration event prevalence,OOS folds
Choquistic 1-additive [balanced],Choquistic 1-additive,balanced,uncalibrated,selection validation,0.6526976110309444,0.08755247785715772,0.053501945525291826,0.873015873015873,0.1008249312557287,0.22142309866036117,0.6401186166071706,0.456561015999156,0.03825136612021858,0.41830964987893743,0.41830964987893743,0.31262406508586527,0.6241651487553127,0.03825136612021858,0.03810860074884709,3.387986200010346,2.9377380999867455,0.0,12.0,3486,0.03758952141587518,7
Choquistic 2-additive [balanced],Choquistic 2-additive,balanced,uncalibrated,selection validation,0.6140371973705308,0.086627921847058,0.05057251908396947,0.8412698412698413,0.09540954095409541,0.20949312427256472,0.614664229172291,0.42651777296779075,0.03825136612021858,0.3882664068475722,0.3882664068475722,0.25845539926027394,0.6363084395871281,0.03825136612021858,0.04880725320973543,17.30615630000102,18.930890300012834,0.0,57.0,3486,0.03758952141587518,7
Choquistic 2-additive [unweighted] [sigmoid],Choquistic 2-additive,unweighted,sigmoid,calibration,0.6198993907327239,0.07685520335097082,0.07262569832402235,0.4126984126984127,0.12351543942992874,0.03648866863988019,0.1588550683801839,0.03605502987215352,0.03825136612021858,-0.0021963362480650617,0.0021963362480650617,0.05511318924212523,0.21736490588949606,0.03825136612021858,0.03650901362170649,18.32447250000405,19.995679299994663,0.18849089999275748,57.0,3486,0.03758952141587518,7
Choquistic 2-additive [unweighted],Choquistic 2-additive,unweighted,uncalibrated,selection validation,0.5509459676126344,0.07237211674486893,0.04729064039408867,0.7619047619047619,0.08905380333951762,0.03680874389890069,0.17058693318729126,0.033759189468908636,0.03825136612021858,-0.004492176651309944,0.004492176651309944,0.057797377585254876,0.6162720097146327,0.03825136612021858,0.03650901362170649,18.32447250000405,19.995679299994663,0.0,57.0,3486,0.03758952141587518,7
Choquistic 1-additive [unweighted],Choquistic 1-additive,unweighted,uncalibrated,selection validation,0.5863596280262947,0.06780070314911521,0.03986135181975736,0.7301587301587301,0.07559572719802794,0.036896223760512124,0.16608463216300903,0.03459709891658515,0.03825136612021858,-0.0036542672036334323,0.0036542672036334323,0.032658316321175884,0.7006678809957498,0.03825136612021858,0.03920464793173623,3.082385299996531,2.532401900025434,0.0,12.0,3486,0.03758952141587518,7
Choquistic 2-additive [balanced] [sigmoid],Choquistic 2-additive,balanced,sigmoid,calibration,0.5939704585537919,0.06293412406619786,0.0945945945945946,0.2222222222222222,0.13270142180094788,0.036627253105662956,0.1601726014721865,0.036063447622053595,0.03825136612021858,-0.0021879184981649855,0.0021879184981649855,0.05194863720073471,0.08986035215543413,0.03825136612021858,0.04880725320973543,17.30615630000102,18.930890300012834,0.16036580000218237,57.0,3486,0.03758952141587518,7
Penalized logistic [unweighted] [sigmoid],Penalized logistic,unweighted,sigmoid,calibration,0.5543630751964086,0.0526420821394228,0.04754601226993865,0.49206349206349204,0.08671328671328671,0.037340655321731545,0.1663962241849125,0.04223343274004795,0.03825136612021858,0.003982066619829368,0.003982066619829368,0.049229357426962016,0.3958712811171828,0.03825136612021858,0.05267306326337879,0.4878455999933067,0.06438509999861708,0.12388510000164388,11.0,3486,0.03758952141587518,7
Logistic [balanced] [sigmoid],Logistic,balanced,sigmoid,calibration,0.4972643097643098,0.05246641609673472,0.038335158817086525,0.5555555555555556,0.07172131147540983,0.04992132652822726,0.20113383999508805,0.09095417675843874,0.03825136612021858,0.05270281063822016,0.05270281063822016,0.04909235105628887,0.554341226472374,0.03825136612021858,0.03996212020776931,0.30116110000381013,0.0899102999974275,0.1366210000051069,11.0,3486,0.03758952141587518,7
Logistic oriented [balanced] [sigmoid],Logistic oriented,balanced,sigmoid,calibration,0.4972643097643098,0.05246641609673472,0.038335158817086525,0.5555555555555556,0.07172131147540983,0.04992132652822726,0.20113383999508805,0.09095417675843874,0.03825136612021858,0.05270281063822016,0.05270281063822016,0.04909235105628887,0.554341226472374,0.03825136612021858,0.03996212020776931,0.20878059999813559,0.11104270000942051,0.2107798999932129,11.0,3486,0.03758952141587518,7
Choquistic 1-additive [balanced] [sigmoid],Choquistic 1-additive,balanced,sigmoid,calibration,0.5625501042167709,0.051773518651211395,0.06526315789473684,0.49206349206349204,0.11524163568773234,0.03676022866825934,0.16188486067310479,0.037528891336788175,0.03825136612021858,-0.0007224747834304046,0.0007224747834304046,0.04608400121285813,0.28840315725561627,0.03825136612021858,0.03810860074884709,3.387986200010346,2.9377380999867455,0.15211589998943964,12.0,3486,0.03758952141587518,7
